is_luxury,price,square_footage,num_bathrooms,num_bedrooms,backyard_space,crime_rate,school_rating,age_of_home,distance_to_city_center,employment_rate,property_tax_rate,renovation_quality,local_amenities,transport_access,fireplace,house_color,garage,floors,windows,previous_sale_price
No,255614.8992,566.62,1,4,779.42,20.56,5.62,39.46,10.08,97.29,1.84,4.93,4.44,4.55,Yes,Blue,No,1,13,181861.5423
No,155586.0947,1472.34,1,2,656.13,15.62,5.63,40.51,7.89,93.22,0.95,4.08,5.56,6.83,No,Green,No,1,17,50042.59757
No,151361.7125,941.81,2.035254196,2,439.59,22.22,7.08,94.67,5.22,91.45,1.45,4.45,5,6.27,Yes,Red,No,1,14,84594.12145
No,113167.6128,550,1.064643868,3,353.03,8.28,5.93,16.8,43.13,86.5,1.26,3.36,5.46,6.99,No,White,Yes,1,21,22934.59654
No,169471.5239,1069.49,1.230458103,3,757.58,37.84,4.4,46.86,5.73,80.9,1.57,5.82,4.25,5.12,No,White,No,1,10,89824.60649
No,265497.8918,550,1,1,636.64,48.26,4.32,60.29,11.35,94.18,0.72,5.81,5.43,6.03,No,Yellow,Yes,1,15,177283.1961
No,146559.7638,550,1,4,603.68,5.03,5.78,104.34,42.05,98.26,2.35,3.54,7.12,6.4,No,Red,Yes,1,19,53649.98602
No,148126.1958,983.26,1,2,206.33,24.37,5.18,50.91,31.04,94.04,1.84,7.19,9.72,9.73,No,Red,Yes,1,9,177535.5475
No,102478.8996,550,2.612040899,2,885.44,20.75,7.82,9.04,26.83,93.05,2.23,6.81,8.01,5.25,No,Blue,Yes,1,2,2581.502071
No,166751.417,550,1.200385725,3,610.78,36.83,7.51,57.32,20.71,93.03,0.82,2.67,4.12,4.37,Yes,Blue,Yes,1,11,107113.7257
No,117175.1588,550,2.893456568,2,857.44,4.75,7.78,21.55,23.4,99.9,1.52,4.89,6.68,7.14,No,Yellow,No,1,10,37017.79751
No,225509.6491,550,2.248925239,3,113.65,35.26,5.58,7.66,14.02,88.03,1.21,4.61,5.5,7.44,No,Red,Yes,1,22,114571.547
